2025-09-29 10:30:53.870 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:30:53.870 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:30:53.870 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:30:53.870 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:31:02.871 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:31:02.871 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:31:02.871 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:31:02.871 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:31:02.871 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:31:12.024 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:31:12.024 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:31:12.024 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:31:12.024 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:31:12.024 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:35:13.442 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:35:13.442 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:35:13.442 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:35:13.442 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:35:13.443 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:36:03.746 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:36:03.746 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:36:03.747 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:36:03.747 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:36:03.747 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:36:15.043 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:36:15.043 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:36:15.043 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:36:15.043 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:36:15.043 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:43:26.666 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:43:26.666 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:43:26.667 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:43:26.667 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:43:26.667 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:43:35.290 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:43:35.290 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:43:35.290 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:43:35.290 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:43:35.291 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
